Cassette: ,300mm Blanket,,,
COLLECTION DATE/TIME: ,1/1/2016 13:00,,,
PROCESS DATE/TIME: ,64/0/2000  1:0:0,,,
EQUIPMENT: ,,,,
OPERATOR: ,operator,,,
SHIFT: ,,,,
MACHINE TYPE: ,KLA,,,
,,,,
,,,,
,,,,
WAFER ID,Slot17,,,
LOT ID,post,,,
Cassette,Right,,,
SLOT,1,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native oxide on Si,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
MEAN,17.0395,0.991,,
MIN,16.6806,0.9888,,
MAX,17.5354,0.9917,,
% STDDEV,0.8656,0.0481,,
STDDEV,0.1475,0.0005,,
3 % STDDEV,2.5969,0.1442,,
3 STDDEV,0.4425,0.0014,,
RANGE,0.8549,0.0029,,
Site #,Value,Value, X , Y 
1,16.9792,0.9912,0,0
2,17.0287,0.991,-0.0001,49
3,17.1246,0.9913,-34.6483,34.648
4,17.1454,0.9912,-49,-0.0001
5,17.1628,0.9909,-34.648,-34.6483
6,17.164,0.9917,0.0001,-49
7,17.1088,0.9909,34.6483,-34.648
8,17.0476,0.991,49,0.0001
9,17.0539,0.991,34.648,34.6483
10,17.2142,0.9907,-0.0003,98
11,17.0726,0.9915,-37.5034,90.5401
12,17.0904,0.9915,-69.2967,69.2962
13,17.1308,0.9914,-90.5404,37.5026
14,17.1271,0.9911,-98,-0.0004
15,16.9997,0.9911,-90.5401,-37.5034
16,17.0841,0.991,-69.2962,-69.2967
17,17.0829,0.991,-37.5026,-90.5404
18,17.2374,0.9894,0.0004,-98
19,17.0272,0.9907,37.5034,-90.5401
20,17.1025,0.9908,69.2968,-69.2962
21,17.0572,0.991,90.5404,-37.5026
22,17.0473,0.9912,98,0.0004
23,17.0415,0.9909,90.5401,37.5034
24,17.02,0.9913,69.2961,69.2968
25,17.5354,0.9888,37.5026,90.5404
26,17.3061,0.9911,-0.0006,147
27,17.2766,0.9916,-38.047,141.991
28,17.0171,0.9915,-73.5004,127.3055
29,17.0327,0.9914,-103.945,103.9443
30,17.0522,0.9914,-127.306,73.4996
31,16.9727,0.9913,-141.9913,38.0458
32,16.7513,0.9911,-147,-0.0006
33,16.787,0.9911,-141.991,-38.047
34,16.8906,0.9907,-127.3054,-73.5004
35,16.8978,0.9911,-103.9443,-103.9452
36,16.9371,0.9908,-73.4994,-127.306
37,16.912,0.9907,-38.0458,-141.9913
38,16.9045,0.9906,0.0006,-147
39,16.9252,0.9907,38.047,-141.991
40,16.923,0.9907,73.5006,-127.3054
41,16.976,0.9908,103.9452,-103.9443
42,16.8037,0.9909,127.3061,-73.4994
43,16.6806,0.991,141.9913,-38.0458
44,16.8277,0.991,147,0.0006
45,17.0017,0.991,141.991,38.047
46,17.0896,0.9912,127.3054,73.5006
47,17.0857,0.9911,103.9443,103.9452
48,17.1208,0.9913,73.4994,127.3061
49,17.0795,0.9907,38.0458,141.9913
,,,,
WAFER ID,Slot18,,,
LOT ID,post,,,
Cassette,Right,,,
SLOT,2,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
